room_id,date,available
1136385184649125333,2026-06-01,False
1136385184649125333,2026-06-02,False
1136385184649125333,2026-06-03,False
1136385184649125333,2026-06-04,False
1136385184649125333,2026-06-05,False
1136385184649125333,2026-06-06,False
1136385184649125333,2026-06-07,False
1136385184649125333,2026-06-08,False
1136385184649125333,2026-06-09,False
1136385184649125333,2026-06-10,False
1136385184649125333,2026-06-11,False
1136385184649125333,2026-06-12,False
1136385184649125333,2026-06-13,False
1136385184649125333,2026-06-14,False
1136385184649125333,2026-06-15,False
1136385184649125333,2026-06-16,False
1136385184649125333,2026-06-17,True
1136385184649125333,2026-06-18,False
1136385184649125333,2026-06-19,False
1136385184649125333,2026-06-20,False
1136385184649125333,2026-06-21,False
1136385184649125333,2026-06-22,False
1136385184649125333,2026-06-23,False
1136385184649125333,2026-06-24,False
1136385184649125333,2026-06-25,True
1136385184649125333,2026-06-26,False
1136385184649125333,2026-06-27,False
1136385184649125333,2026-06-28,False
1136385184649125333,2026-06-29,False
1136385184649125333,2026-06-30,True
1136385184649125333,2026-07-01,False
1136385184649125333,2026-07-02,False
1136385184649125333,2026-07-03,False
1136385184649125333,2026-07-04,False
1136385184649125333,2026-07-05,False
1136385184649125333,2026-07-06,False
1136385184649125333,2026-07-07,True
1136385184649125333,2026-07-08,False
1136385184649125333,2026-07-09,False
1136385184649125333,2026-07-10,False
1136385184649125333,2026-07-11,False
1136385184649125333,2026-07-12,False
1136385184649125333,2026-07-13,False
1136385184649125333,2026-07-14,False
1136385184649125333,2026-07-15,True
1136385184649125333,2026-07-16,True
1136385184649125333,2026-07-17,True
1136385184649125333,2026-07-18,True
1136385184649125333,2026-07-19,False
1136385184649125333,2026-07-20,False
1136385184649125333,2026-07-21,False
1136385184649125333,2026-07-22,False
1136385184649125333,2026-07-23,False
1136385184649125333,2026-07-24,False
1136385184649125333,2026-07-25,False
1136385184649125333,2026-07-26,True
1136385184649125333,2026-07-27,True
1136385184649125333,2026-07-28,True
1136385184649125333,2026-07-29,True
1136385184649125333,2026-07-30,True
1136385184649125333,2026-07-31,True
